AA,CHL,total_cells,mCherry_cells
0L0F,0,9159,1180
0L0F,0.5,9370,1271
0L0F,1,9375,1487
0L0F,1.5,9424,1471
0L0F,2,9440,1372
0L0F,2.5,9365,1350
0L0F,3,9368,1444
0L0F,3.5,9363,1667
0L0F,4,9375,1567
1L1F,0,9321,95
1L1F,0.5,9398,163
1L1F,1,9664,226
1L1F,1.5,9340,466
1L1F,2,9531,430
1L1F,2.5,9578,496
1L1F,3,9639,603
1L1F,3.5,9572,558
1L1F,4,9401,813
2L2F,0,9293,197
2L2F,0.5,9633,227
2L2F,1,9577,269
2L2F,1.5,9602,401
2L2F,2,9438,368
2L2F,2.5,9564,429
2L2F,3,9508,466
2L2F,3.5,9537,328
2L2F,4,9497,579
3L3F,0,9299,96
3L3F,0.5,9663,82
3L3F,1,9518,186
3L3F,1.5,9498,283
3L3F,2,9582,260
3L3F,2.5,9593,430
3L3F,3,9537,465
3L3F,3.5,9570,472
3L3F,4,9502,641